question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,user_ans
Telomerases are:,Telomerases are RNA dependent DNA polymerase. Telomerase enzyme is present in germ cells and stem cells. And because of the presence of telomerase these cells have infinite number of divisions as compared to somatic cells. Telomerase prevent Telomere shoening. Telomerase activity increases in cancer. Telomerase activity decreases ageing.,2,DNA dependent DNA polymerase,RNA dependent DNA polymerase,DNA dependent RNA polymerase,RNA dependent RNA polymerase,Biochemistry,Replication,826f7e32-cb46-4694-84a4-587c88133b93,single,2
Preferred fuel for body in fasting state:,The preferred fuel for the body in:- Fed state is mainly Carbohydrates i.e. Glucose. Fasting state is mainly Fats. Fats stored in adipose tissues are broken down to fatty acids to give energy during fasting and starvation.,2,Carbohydrates,Fats,Proteins,Amino acids,Biochemistry,"Fuel in Fed, Fasting and Starvation",07569109-ba08-4da2-b4a9-8669d1ae2abc,single,2
"In case of fasting, glycogen stores in the body can last up to:","Liver glycogen is the first-line of defence against hypoglycemia. The liver concentration of glycogen is about 450 mmol /L glucose equivalents after a meal, falling to about 200 mmol /L after an overnight fast. After 12 to 18 hours of fasting, liver glycogen is almost totally depleted.",4,7 days,72-96 hours,6-8 hours,12-18 hours,Biochemistry,"Fuel in Fed, Fasting and Starvation",2529a2e6-b7b3-459c-8bf5-bdff6ed84674,single,4
Ammonia in brain is trapped by -,"Ans. is 'b' i.e., Glutamine o Ammonia is produced in most of the tissues. However, it should be transported to liver as urea cycle (formation of urea) occurs only in liver. Since free ammonia is highly toxic, it is never transported in free form in bloodo Two mechanisms are available for transport of ammonia from the peripheral tissues to the liver.1) In the form of glutamine# In many tissues like liver, kidney and brain, ammonia combines with glutamate to yield glutamine, by the action of glutamine synthase. The brain is a rich source of glutamine synthase and it predominantly detoxifies ammonia by this route.# Glutamine is a nontoxic major transport form of ammonia. The glutamine is transported by blood to liver where deamination (removal of amino group) of glutamine takes place. Glutaminase cleaves glutamine to yield glutamate and free ammonia (ammonium ion). The ammonia is converted by liver to urea.GlutamineH2O-------------GlutaminaseGlutamate + NH4# Formation and secretion ammonia by renal tubular cells maintain acid base balance. Ammonia is formed from glutamine by glutaminase. Excretion of ammonia increases in metabolic acidosis and decreases in metabolic alkalosis.2) In the form of alanine# Alanine transports ammonia from muscles to liver through 'glucose-alanine cycle'.# In muscle, glutamate is formed from ammonia and a-ketoglutarate by reversal of the glutamate dehydrogenase reaction. L-glutamate then transfers its a-amino group to pyruvate by transmination reaction to form alanine.# Alanine is transported to liver. In liver alanine is converted to pyruvate and glutamate by transamination reaction. Glutamate undergoes oxidative deamination to release free ammonia, which is converted to urea. Pyruvate is converted to glucose by gluconeogenesis.",2,Alanine,Glutamine,Ornithine,Aspartate,Biochemistry,Urea Cycle and Disorders,3c0993dd-b9d5-461b-af56-a6f5b0aec65c,single,2
Primase activity is present in,DNA polymerase alpha also known as Pol a is an enzyme complex found in eukaryotes that is involved in initiation of DNA replication Comparison of Prokaryotic and Eukaryotic DNA Polymerases (see treasure),2,DNA polymerase II,DNA polymerase a,DNA polymerase b,DNA polymerase d,Biochemistry,Replication,fc5da55a-75c7-4a54-b34e-853abf110d9c,single,2
Essential pentosuria is due to deficiency of:,"Essential Pentosuria: Occurs due to deficiency of : Xylulose reductase Xylitol dehydrogenase. L-Xylulose in urine, gives positive Benedict's test Glucose Oxidase test strip negative Garrod's Tetrad Pentosuria, Albinism, Alkaptonuria, Cystinuria) Due to consumption of large amount of fruits that are rich in Pentoses Fructokinase deficiency causes essential fructosuria, not essential pentosuria",3,Fructokinase,Phosphoglucomutase,Xylulose reductase,Gluonolactone oxidase,Biochemistry,Galactose and fructose metabolism,5667efb6-fdf1-45bf-a982-1f8cb9f8138c,single,3
Restriction endonuclease cleaves,Restriction endonuclease Cleaves double stranded DNA at palindromic sites/ restriction sites 5' --AAGCTT-- 3'3' --TTCGAA-- 5' A palindromic sequence is a sequence which reads the same backwards as forwards. Found in bacteria Can create sticky ends or blunt ends Restriction endonuclease Sticky ends Blunt ends single-stranded overhangs no overhangs Example - EcoRI Example -SmaI,1,Double stranded DNA,Single stranded DNA,Single stranded RNA,Polypeptide,Biochemistry,Basics of DNA,da25135b-36fc-47e7-8e64-7b78be836830,single,1
Ketone body formation without glycosuria seen in -,"Ans. is 'c' i.e., Prolonged starvation o Amongst the given options, DM and starvation are the causes of ketosisDiabetes :- Ketosis with hyperglycemia and glycosuria Prolonged starvation :- Ketosis with low or normal glucose and without glycosuria.o In diabetic Ketoacidosis:- (i) Positive Rothera's test (due to ketone bodies) (ii) Positive Benedict's test (due to presence of reducing sugar in urine)o In Starvation ketosis:- (i) Postive Rothera's test (due to ketone bodies), (ii) Negative Benedict's test (no sugar in urine)",3,DM,DI,Prolonged starvation,Obesity',Biochemistry,Oxidation of Fatty acids: Ketogenesis,577f2265-89c6-4ac1-b475-f158a54027d4,single,3
Hyperbilirubinemia with the absence of urobilinogen in urine is seen in:,"Urobilinogen is formed from degradation of bile pigments by bacterial action. In case of obstruction to bile flow as happens in cholelithiasis or any kind of biliary obstruction,There will be no urobilinogen in urine. So, No formation of stercobilinogen and the patient passes clay colored stools. Option analysis: Hemolysis produces a lot of urobilinogen which is excreted in urine - option a and c are excluded. In hepatocellular jaundice, urobilinogen can be normal or reduced. The question specifically uses the word ""absent"" - options c is also excluded. Parameter Pre-hepatic Hepatocellular Obstructive Basic mechanism of raised bilirubin Hemolysis defective uptake, conjugation and excretion of bilirubin by hepatocytes defective excretion of bile due to the obstruction of biliary tract Type of serum bilirubin raised mainly unconjugated unconjugated + conjugated mainly conjugated (>50%) Urine bilirubin absent present present Urine urobilinogen present present absent Prototype example Hemolytic anaemia viral hepatitis common bile duct stone Prothrombin time normal abnormal; that is n't corrected by vitamin K inj. abnormal; that is corrected by the vitamin K inj. Additional features features of hemolysis on peripheral blood smear, reticuloytosis, low Hb, low haptoglobin Marked rise of serum ALT and ALP Marked rise of serum ALP (>3 times)",4,G6PD enzyme deficiency,Cirrhosis of liver,Paroxysmal Nocturnal Hemoglobinuria,Obstruction of the common bile duct,Biochemistry,HAEM synth and porphyrias,c00a1262-555a-4da9-9909-6637bd8fda86,single,4
"A patient presented to casualty with nausea, vomiting. Intravenous glucose was given & the patient recovered. After few months, patient presented with same complaints. Blood glutamine was found to be increased. Also uracil levels were raised. What is the diagnosis?","Increase in Blood glutamine indicates hyperammonemia, which occurs in all enzyme defect of urea cycle Increased uracil indicate Ornithine trans carbamoylase deficiency Orotic acid, OMP, UMP are increased in OTC defect. OTC deficiency (Excess carbamoyl phosphate from mitochondria enters cytoplasm and takes pa in pyrimidine synthesis) WITH REGARDS TO OTHER OPTIONS If citrulline is increased then it is Argino succinate synthetase deficiency. ( OPTION II) CPS-II (carbamoyl phosphate synthetase-II) is enzyme involved in pyrimidine synthesis, not in urea cycle. (OPTION III)",4,CPS-I deficiency,Argino succinate synthetase deficiency,CPS-II deficiency,Ornithine trans carbamoylase deficiency,Biochemistry,Urea cycle,7ac0b225-cb65-4bb4-97e4-7836112d67dc,single,4
Amino acid linking Kreb's cycle & urea cycle:-,"Urea cycle andTCA Cycle is linked by three way Fumarate in urea cycle is the most impoant integrating point with TCA cycle. Fumarate is conveed to malate and then to oxaloacetate in TCA cycle. Oxaloacetate undergoes transamination to produce aspaate which enters urea cycle. However, Fumarate is not an amino acid so amino acid linking Kreb's cycle and Urea cycle is aspaate. Fig- Kreb's Bicycle Extra information: 12 ATPs are generated in the TCA cycle while 4 ATPs are utilized for UREA CYCLE. The CO2 liberated in the TCA cycle (in the mitochondria) can be utilized in the urea cycle",1,Aspaate,Fumarate,Alanine,Arginine,Biochemistry,NEET 2019,a52c53ac-1f3c-464e-a62e-ed8ced487e02,single,1
"Replacing alanine by which amino acid, will increase UV absorbance of protein at 280 nm wavelength?","Aromatic side chains are responsible for the UV absorption of most proteins, which have absorption maxima between 275 nm and 285 nm Basically, this absorption of UV-light is because of conjugated double bonds present in the ring. Aromatic amino acids: Tryptophan Tyrosine Phenylalanine Absorption ismaximum for tryptophan. Since nearly all proteins contain aromatic amino acids, the amount of light absorbed at 280 nm by a protein is used as an indirect measure of protein concentration.",1,Tryptophan,Arginine,Guanine,Lysine,Biochemistry,NEET Jan 2020,0ca57571-24a8-4c57-ac0a-2c3f6c3f292a,single,1
In beta oxidation of fatty acids carnitine is required for -,"Ans. is 'b' i.e., Transport of long chain fatty acid to mitochondrial inner layer o Formation of acyl CoA (activated fatty acid) takes place in the cytosol,o Further degradation occurs in the mitochondrial matrix.o This creates a problem because the inner mitochondral membrane is impermeable to long chain acyl CoA (activated fatty acid).o To ov ercome this problem, participation of a carrier, carnitine is requiredQ,o It is Synthesized from lysineQ and methionine in liver and kidney.o The transport process, referred to as carnitine shuttle, comprises following steps:-The acyl group af acyl CoA is transferred to carnitine, resulting in formation of fatty acylcamitine. The reaction is catalyzed by rate-limiting enzyme of b-oxidation, carnitine acyl transferase-1: CAT-1 (or carnitine palmitoyltransferase-1), which is located on outer side (cytosolic side) of inner mitochondrial membrane or inner side of outer mitochondrial membraneQAcylcamitine is able to penetrate the inner membraneQ and is transported across the inner mitochondrial membrane by an enzyme translocase (camitine-acylcamitine translocase). Entry of acylcamitine is coupled with exit of carnitine.Once inside the mitochondrial matrix, acyl group of acylcamitine is transferred back to CoA by the enzyme carnitine acyl transferase-II: CAT-II (or carnitine palmitoyl transferase-II) located on the inside of the inner mitochondrial membrane. Acyl-CoA is reformed in mitochondrial matrix with liberation of carnitine which is returned to the cvtosalic side by the translocase (camitine-acylcamitine translocase) in exchange for an incoming acylcamitine.",2,Conversion ofshort chain fatty acids to long chain fatty acids,Transport of long chain fatty acid to mitochondrial inner layer,Transport of long chain fatty acid to cytoplasm,Conversion of long chain fatty acids to short chain fatty acids,Biochemistry,Oxidation of Fatty acids: Ketogenesis,e805bce9-7294-4499-93ee-e393ec078565,single,2
"Which of the following is known as suicidal enzyme? (AIIMS November 2013, May 2013)","Ans. b. Cyclooxygenase (Ref: Harper 27/e p204 Harrison 18/e p146Cyclooxygenase is a suicidal enzyme.Suicidal enzyme is one. which undergoes self-destruction in order to terminate its own acitivity. e.g. Cyclooxygenase.Switching off of prostaglandin activity is partly achieved by a remarkable property of cyclooxygenaseQ, that of self-catalyzed destruction, i.e. it is a 'suicidal enzyme'.Suicidal inhibition is conversion of a substrate by the enzyme into a metabolite, which is a potent inhibitor of the enzyme; example: Xanthine oxidase converts allopurinol to alloxanthine (oxypurinol), which is a more potent inhibitor of allopurinol.",2,Lipoxygenase,Cyclooxygenase,Thromboxane synthatase,5' nucleotidase,Biochemistry,Mechanisms of Enzyme Action,12657041-3c9d-485c-b33d-39b7850a36ef,single,2
Phospholipid is -,"Ans. is 'b' i.e., Lecithine o Phospholipids are:i) Glycerophospholipids (glycerol containing) Phosphatidylcholine ilecithin), phosphatidylethanolamine (cephaline), phosphatidylserine, phosphatidyl inositol, plasmalogens, lysophospholipids, cardiolipin.ii) Sphingophospholipids (sphingosine containing) Sphingomyeline",2,Leukotrienes,Lecithin,Cerebroside,Ganglioside,Biochemistry,"Phospholipids, Glycolipids and their disorders",3bf6562e-1d93-4522-8830-d471ba294d0b,single,2
The vitamin used for transamination is :,Ans. is 'a' i.e. Pyridoxal phosphate : Transaminationis a reversible reaction in which Alpha - NH2 group of one amino acid is transferred to a Alpha - Keto acid resulting in formation of a new amino acid and a new keto acid. Enzyme - is Transaminases Coenzyme - Pyridoxal phosphate,1,Pyridoxal phosphate,Riboflavin,Thiamine,Cyanocobalamine.,Biochemistry,Mechanisms of Enzyme Action,b296f6ef-345c-4bc8-8721-650570bacdad,single,1
Heme is which porphyrin:,The side chain groups in porphyrins may be arranged in four different structural configurations (I to IV). Only type I and type III series are found in nature and the porphyrins of type III series are not only more abundant but are also physiologically impoant in humans. Haem is a type III porphyrin.,3,Type I,Type II,Type III,Type IV,Biochemistry,HAEM synth and porphyrias,5bbf7ffe-ead0-4ee6-98a7-27a374cf8d7d,single,3
Chymotrypsinogen is a,Ans. is 'a' i.e. Zymogen * Proteolytic digestive enzymes known as proteases have two main classes depending on specificity for the amino acids forming the peptide bond to be hydrolysed.,1,Zymogen,Carboxypeptidase,Transaminase,Elastase,Biochemistry,Mechanisms of Enzyme Action,a734afc0-05a7-4012-a09a-ed7869fccd01,single,1
Site of b-oxidation is -,"Ans. is 'b' i.e.. Mitochondria SiteCycle/ReactionsCytosol QGlycolysis (EMP Cycle), HMP shunt, fatty acid synthesis glycogenosis, glvcogenolysis. Bile acid'Salt synthesis, cholesterol synthesisMitochondria QKreb's cycle (citric acid cycle), Electron transport chain (ECT) Q, Fatty acid oxidation, KetogenesisBoth cvtosoi and mitochondriaGluconeogenesis, Urea cyclePeroxisomesOxidation of very long chain fatty acidsSmooth endoplasmic reticulumTriglyceride synthesis. Steroid synthesis, cholesterol synthesis, phospholipid synthesisRough endoplasmic reticulum(ribosomes)Protein synthesisNucleusDNA and RNA synthesis",2,Cytosol,Mitochondria,Lysosome,Golgi apparatus,Biochemistry,Oxidation of Fatty acids: Ketogenesis,2c0e637a-56fe-4ba6-b611-9384694cef63,single,2
Which of the following trace elements is important for conversion of procollagen to collagen -,"Ans. is 'b' i.e., Cu o Lysyl oxidase is involved in stabilization of collagen cross-linking, wrhen tropocollagen molecules assemble to form collagen fibrils.o Copper is a cofactor for lysyl oxidase;Biosynthesis of collageno The collagens are synthesized and secreted by specilized cells called fibroblasts0. Following steps occur in collagen synthesisPolypeptide chain synthesisSynthesis of polypeptide chains (a-chains) of collagen occurs in ribosomes on the rough endoplasmic reticulum (RER). Collagen is synthesized as preprocollagen, which contains a leader or signal sequence along with main polypeptide chain.Post-translational modificationNewly synthesized collagen (polypeptide chains) undergoes extensive post-translational modification.In endoplasmic reticulum:- Signal (leader) sequence of preprocollagen directs the polypeptide chain into the lumen of RER from the ribosomes. As it enters the RER, signal sequence is enzymatically removed. Hydroxylation of proline and lysine residues occurs to form hydroxyproline and hydroxylysine. Then glycosylation of hydroxylysine0 takes place in procollagen molecule. Then, three pro-a-chains assemble together to form triple helix0, which is helped by formation of intrachain and interchain disulfide (S-S) bonds in extension peptides (propeptides), (extension peptides are additional amino acid residues (100-300) on both amino and carboxy terminals). Winding starts from carboxy terminal end. After formation of triple helix, no hydroxylation of proline or lysine and glycosylation of hydroxy lysines take place.Golgi-Apparatus:- Procollagen is then transported to golgi apparatus w'here it is packed in the secretory vesicles and then secreted out of the fibroblasts.C) Extracellular (out side the fibroblasts) :- Following secretion from the fibroblast, extracellular enzymes called procollagen aminopeptidase and procollagen carboxypeptidase remove extension peptides (propeptides) from amino-and carboxy-terminal, respectively. By removal of extension peptides, procollagen is converted to tropocollagen (mature collagen monomer). Then, these triple helical tropocollagen molecules spontaneously assemble to form collagen fibrils. These tropocollagen molecules (which have aggregated into collagen fibrils) now become extensively cross linked0 covalently to produce mature collagen fiber. These cross-linked are further stabilized by lysyl oxidase that oxidatively deaminates the amino group of same lysine and hydroxylysine residues. The tensile strength of collagen is provided by these covalent cross-links between and within triple helical units (tropocollagen).",2,Se,Cu,Zn,Mg,Biochemistry,Membrane Structure & Function,50e5dc1d-b7e6-4f17-b395-1190181ddb4f,single,2
"In urea cycle, hydrolysis of arginine forms -","Ans. is 'b' i.e., Ornithine o Arginase catalyses the formation of urea from arginine by hydrolytic cleavage of arginine to yield urea and ornithine to yield urea and ornithine.Urea cvcleo Ammonia is ultimately disposed of by formation of urea by ""Kreb's Henseleit urea cycle"" in the liverr. Urea cycle takes place both in mitochondria and cytosol. First two reactions of urea cycle occur in the mitochondria, and remaining reactions occurs in cytosolr.o Biosynthesis of urea occurs in five steps.Carbamoyl phosphate synthase-I (CPS-I), a mitochondrial enzyme, catalyzes the formation of carbamoyl phosphater by condensation of CO2 and ammonia. Two molecules of ATP are required for the reaction. CPS-I is the rate limiting enzyme of urea cycle0. It is an allosteric enzyme and allosterically activated by N-acetyl glutamater.Ornithine transcarbamoylaser catalyzes the formation of citruliine from carbamoyl phosphate and ornithiner.Arginosuccinate synthase6 catalyzes the formation of arginosuccinate from citruliine and aspartate. This reaction requires 1ATP, but 2 high energy phosphate bonds are consumed as ATP is converted to AMP + PPi. The amino group of aspartate provides one of the two nitrogen atoms that appear in urear (The other one is provided by ammonia NH4 r).Arginosuccinate lyase (arginosuccinase) catalyses the cleavage of arginosuccinate into arginine and fumarate. Fumarate enters in TCA cycle.Arginaser catalyses the formation of urea from argininer by hydrolytic cleavage of arginine to yield urea and ornithine. Ornithine is thus regenerated and can enter mitochondria to initiate another round of the urea cycle.o The source of two nitrogen atoms of urea one from ammoniar and one from amino group of aspartate6. Source of carbon is CO2r. Thus out of all amino acids in%rolved in urea cycle aspartate is consumed, while there is no net loss or gain of ornithine, citruliine, arginosuccinate or arginine. There is production of fumarate as by productr.o 3 molecules of ATP are consumed (2 in first reaction and 1 in third reaction). However, 4 high energy phosphatebonds are utilized as 3rd ATP is converted to AMP+PPi.",2,Citrulline,Ornithine,Carbomoyl phosphate,Arginosuccinase,Biochemistry,Urea Cycle and Disorders,f8779856-c75c-4e90-a09f-e5eaddf4a204,single,3
DNA Polymerase requires which biomolecule for its activity?,"Thioredoxin DNA Template dUTP Glutathione Required for the conversion of Ribonucleotides to Deoxyribonucleotides Required by DNA Polymerase deoxy UTP does not exist in body UTP, UDP in the form of RNA are present in the body Required by RBCs for destroying H2O2",2,Thioredoxin,DNA Template,dUTP,Glutathione,Biochemistry,Replication,735a5729-4dac-4bca-a90a-c5d1f4cda2fd,single,2
Carbamoyl phosphate is used in-,"Ans. is 'a' i.e., Urea o Carbamoyl phosphate is used in the synthesis of urea (urea cycle).Aspartate - NH. (or NH4+) + CO, + H,0 + 3 ATP - Fumarate + Urea + 2 ADP + 2Pi + AMP + PPio Kidney and intestine contribute to most of body arginine because they posses all the urea cycle enzymes except arginase.o Brain can synthesize urea from citrulline (AMU 93,AMC 90) but lacks enzyme for formation of citrulline from orthithine, i.e., ornithine transcarbamylase.o Thus neither brain nor kidney can form urea in significant amount.",1,Urea,Uric acid,Pyruvic acid,Stearic acid,Biochemistry,Urea Cycle and Disorders,cca15142-7e16-447c-9350-0f42a15333aa,single,1
Ammonia causes depletion of which of the following in TCA cycle?,"In Hyperammonemia (i.e. excess amino groups in cells), a large amount of alpha keto glutarate (intermediate of TCA) combine with an excess of ammonia in cells to form glutamate which fuher give rise to glutamine by taking up more ammonia (see fig). This leads to depletion of alpha-KG. As alpha-KG is an intermediate of TCA cycle, so TCA cycle stops and the brain is affected as brain is highly dependent on this aerobic pathway for energy. So in case of hyper ammonia alpha-ketoglutarate & glutamate will decrease and glutamine will increase.",2,Oxaloacetate,Alpha-Keto glutarate,Fumarate,Malate,Biochemistry,NEET 2019,2a51549b-64a5-41bb-90c1-1b209474b544,single,2
Which of the following is the prosthetic group of the enzyme ALA dehydratase?,ALA dehydratase is a zinc metalloprotein. Option c - Lead inhibits ALA dehydratase. -Additional information: List of zinc containing enzymes: Carbonic anhydrase Carboxy peptidase Alcohol dehydrogenase Alkaline phosphatase Lactate dehydrogenase ALA dehydratase Glutamate dehydrogenase Superoxide dismutase Phospholipase C RNA polymerase,1,Zinc,Copper,Lead,Magnesium,Biochemistry,HAEM synth and porphyrias,48348969-7773-4531-a0b4-3fe90896ee58,single,1
